################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.3351821603577392E+00 a       400     0    16     1    25
 -5.2515599418587948E+00 a       401     0    17     1     1
  6.9299841091987202E-01 a       402     0    17     1     2
  8.0424264784011723E-01 a       403     0    17     1     3
  1.3589083553723771E+00 a       404     0    17     1     4
 -3.5112530820672450E-01 a       405     0    17     1     5
  8.0153206130595800E-01 a       406     0    17     1     6
  6.4841773264714742E-01 a       407     0    17     1     7
 -4.1823939911240095E-02 a       408     0    17     1     8
  9.7647726442412863E-01 a       409     0    17     1     9
  4.7951213071743587E-01 a       410     0    17     1    10
  7.6199815195083775E-01 a       411     0    17     1    11
  4.8652372462851412E+00 a       412     0    17     1    12
  1.1938501722439129E-01 a       413     0    17     1    13
 -2.3842283586102773E+00 a       414     0    17     1    14
  1.1237866591240728E+00 a       415     0    17     1    15
  2.6318093422929206E-01 a       416     0    17     1    16
 -1.4386360250676258E+00 a       417     0    17     1    17
  2.0278755730464630E+00 a       418     0    17     1    18
 -4.9937002253198248E-01 a       419     0    17     1    19
  1.1445078178437461E-01 a       420     0    17     1    20
 -2.8257003665222342E-02 a       421     0    17     1    21
 -1.6041517203357503E+00 a       422     0    17     1    22
  1.8646716945116968E+00 a       423     0    17     1    23
  2.8682726808585957E-01 a       424     0    17     1    24
 -1.3579964246899767E+00 a       425     0    17     1    25
 -1.1858640205951261E+01 a       426     0    18     1     1
  3.0142669819016188E-01 a       427     0    18     1     2
  2.6654725175258159E-01 a       428     0    18     1     3
  3.9155466279928381E+00 a       429     0    18     1     4
  7.3152895377793248E-01 a       430     0    18     1     5
  3.2151345279555525E+00 a       431     0    18     1     6
  6.0379035208222964E-01 a       432     0    18     1     7
  2.2917341539356548E+00 a       433     0    18     1     8
  3.2714912486473580E+00 a       434     0    18     1     9
  2.3584769038641662E-01 a       435     0    18     1    10
  5.3166926640514645E-01 a       436     0    18     1    11
  1.2159797845474808E+01 a       437     0    18     1    12
  2.3949878734296076E-01 a       438     0    18     1    13
 -4.9772887021931984E+00 a       439     0    18     1    14
 -2.9445586080839083E+00 a       440     0    18     1    15
  2.6603590325713204E+00 a       441     0    18     1    16
 -2.8810658214551816E+00 a       442     0    18     1    17
  6.1515918448820361E+00 a       443     0    18     1    18
  1.3843038313263312E+00 a       444     0    18     1    19
  1.1073920058889151E+00 a       445     0    18     1    20
 -6.4189152036060881E-01 a       446     0    18     1    21
 -3.5031534641069735E+00 a       447     0    18     1    22
  2.7551290159004300E+00 a       448     0    18     1    23
 -1.4244666353997322E+00 a       449     0    18     1    24
 -5.7785209265132904E+00 a       450     0    18     1    25
  5.7982912802229400E-03 a       451     0    19     1     1
 -1.0627119043627089E+00 a       452     0    19     1     2
  1.0690963051246269E+00 a       453     0    19     1     3
 -1.7063505765886947E-01 a       454     0    19     1     4
  1.1584340515493055E+00 a       455     0    19     1     5
 -1.0870293091866383E+00 a       456     0    19     1     6
  5.3895389565937013E-01 a       457     0    19     1     7
 -3.1429038612080362E-01 a       458     0    19     1     8
 -9.4050850573541026E-02 a       459     0    19     1     9
 -2.4143000543155507E-01 a       460     0    19     1    10
 -2.3465760921392475E-02 a       461     0    19     1    11
 -4.9139555402672291E-01 a       462     0    19     1    12
 -1.9663498977175661E-01 a       463     0    19     1    13
 -3.1299266062086406E-01 a       464     0    19     1    14
  1.1646418693887977E+00 a       465     0    19     1    15
 -6.7840291419932663E-01 a       466     0    19     1    16
 -1.4824372060000815E-01 a       467     0    19     1    17
  1.0441967295056802E+00 a       468     0    19     1    18
  4.1787926795250385E-01 a       469     0    19     1    19
  1.5507289872124641E-01 a       470     0    19     1    20
 -6.5770489672026966E-01 a       471     0    19     1    21
 -5.4451915359452696E-01 a       472     0    19     1    22
 -7.5958567142966937E-01 a       473     0    19     1    23
  7.3869123897847755E-01 a       474     0    19     1    24
 -8.0400226824224619E-01 a       475     0    19     1    25
 -5.7907466657370477E-01 a       476     0    20     1     1
  1.2634927193268304E+00 a       477     0    20     1     2
 -1.7917074284083332E+00 a       478     0    20     1     3
