################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         29   2.3261022988676282E-02   4.9596126819659041E+00   1.6529117765653409E+00   4.8441824837544234E-01
         2         30   1.3926693772362699E-02   1.7430919564790056E+01   5.7984898687568363E+00   2.0042648788850377E+00
         2         31   2.7928490582183663E-01   1.3696848247175355E+01   4.5328091303328142E+00   1.2598763601321898E+00
         2         32   0.0000000000000000E+00   8.3311411255583412E+00   1.7053153720176013E+00   6.8992685060915637E-01
         2         33   0.0000000000000000E+00   1.2216503850941132E+00   1.4555046608414896E-01   8.4619735896872980E-02
         2         34   4.3980508907554683E-01   2.3239282310968189E+01   7.0939227822364490E+00   2.3900009524673447E+00
         2         35   0.0000000000000000E+00   2.3463991550104275E+01   6.4232743297701944E+00   2.2211452596507906E+00
         2         36   0.0000000000000000E+00   2.7511789820139776E+00   4.0952408396705636E-01   2.2407081012554905E-01
         2         37   1.2089954092032627E-01   7.5955079679501658E+00   2.5326600778168080E+00   6.2328366523013523E-01
         2         38   2.7431863926655115E-01   1.1746780474431844E+01   3.2659238946183007E+00   1.0309790712044784E+00
